#File S7: MergeMap consensus genetic map for Pinus taeda and Pinus elliottii with genomic sequence alignments and predicted genes functions based on transcript alignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Legend: MergeMarkerID - identifier of marker used in input maps to allow consensus map merging, GeneSeqID - identifier used in alignment analysis of a marker's sequence (see File S5), LG - linkage group, LG_pos_cM - centiMorgan position of the locus in the linkage group, Pos_lCI - cM position of the lower bound of locus 95% confidence interval, Pos_uCI - cM position of the upper bound of locus 95% CI, Delta_CIbounds - cM difference between upper and lower 95% CI, MarkerID - identifier for the specific marker allele mapped in a contributing input map, Marker_type - type of allele segregating for the locus (SNP - single nucleotide polymorphism; RFLP - restriction fragment length polymorphism; PAV - presence-absence variant; SSR - simple sequence repeat; estSSR - SSR from an expressed sequence tag; ESTP - expressed sequence tag polymorphism), Seg_qtl-base1 - the present or absent in the qtl-base1 map, Seg_qtl-base2 - present or absent in the qtl-base2 map, Seg_BC1 - present or absent in the BC1 map, Seg_10-5 - present (1) or absent (0) in the 10-5 map, Aligned_scaff_ID - scaffold or contig identifier of Pinus taeda RefSeq assembly v1.01, Aligned_genome_coord - start position..stop position for the best alignment  of the scaffold_ID with the marker GeneSeqID, Genome_pct_aligned - percent nucleotide sequence aligned length between the marker and P. taeda genome sequence, Genome_pct_ID - percent nucleotide sequence identity between the marker and aligned P. taeda genome sequence, Aligned_transcript(Accession_Pending) - predicted full-length Pinus taeda trascript ID - not yet assigned pending publication by Mockaitis et al., ESTvTr_pctID - percent nucleotide sequence identity between the EST marker and transcript, ESTvTr_alignlen - nucleotide length of alignment between the EST marker and transcript, ESTvTr_evalue - E-value of alignment between the EST marker and transcript, ESTvTr_bitscore - Bitscore of alignment between the EST marker and transcript, Aligned_CDD -  NCBI Conserved Domain Database accessionID assigned to the transcript, CDD_desc - description of the protein domain from the NCBI Conserved domain database, Tr_CDD_pctID - percent sequence identity between the transcript and the domain from the NCBI CDD, Tr_CDD_alignlen - length of alignment between the transcript and the domain  , Tr_CDD_evalue - E-value of alignment between the transcript and the domain, Tr_CDD_bitscore - Bitscore of alignment between the transcript and the domain, Aligned_AGI_prot - TAIR accession ID of the Arabidosis AGI map gene model with the highest amino acid sequence identity with the assigned translated P. taeda transcript, Prot_desc - description of the protein function of the TAIR gene model, Tr_AGI_pctID - percent amino acid sequence identity between the Arabidopsis and P. taeda proteins, Tr_AGI_alignlen - length of alignment between Arabidopsis and P. taeda transcripts, Tr_AGI_evalue - E-value of alignment between Arabidopsis and P.taeda transcripts, Tr_AGI_bitscore - Bitscore of alignment between Arabidopsis and P.taeda transcripts, MarkerAcc - NCBI/GenBank accession number for the marker sequence or for the best blastn match to the marker sequence, NP - the gene is reported on the 10-5 map3 of Neves et al. 2014 but was not positioned on our consensus map, NA - information not available."

MergeMarkerID,GeneSeqID,LG,LG_pos_cM,Pos_lCI,Pos_uCI,Delta_CIbounds,MarkerID,Marker_type,Seg_qtl-base1,Seg_qtl-base2,Seg_BC1,Seg_10-5,Aligned_scaff_ID,Aligned_genome_coord,Genome_pct_aligned,Genome_pct_ID,Aligned_transcript(Accession_Pending),ESTvTr_pctID,ESTvTr_alignlen,ESTvTr_evalue,ESTvTr_bitscore,Aligned_CDD,CDD_desc,Tr_CDD_pID,Tr_CDD_alignlen,Tr_CDD_evalue,Tr_CDD_bitscore,Aligned_AGI_prot,Prot_desc,Tr_AGI_pctID,Tr_AGI_alignlen,Tr_AGI_evalue,Tr_AGI_bitscore,MarkerAcc
2_3591,2_3591,4,122.88,122.5,123.26,0.76,2_3591_03_186,SNP,0,1,0,0,tscaffold3071,150629--149577,100,99.9,AP,99.24,1053,0,1871,CDD|218256,pfam04770; ZF-HD_dimer; ZF-HD protein dimerization region; len=60,82.46,57,9.00E-35,121,AT1G14440.2,Homeobox protein 31,44.49,227,6.00E-41,146,gb|BQ695531.1
0_1713,0_1713,4,123.68,123.3,124.06,0.76,0_1713_01_255,SNP,0,1,1,1,tscaffold3920,403874--404205,100,98.5,AP,100,332,1.00E-168,600,NA,NA,NA,NA,NA,NA,AT1G16840.1,Uncharacterized protein,38.38,99,2.00E-17,77,gb|CO175935.1
CL1908Contig1,CL1908Contig1,4,123.72,123.34,124.1,0.76,CL1908Contig1_03_100,SNP,0,1,0,0,tscaffold8884,46146--31284,99.7,99.4,AP,99.42,859,0,1532,CDD|223464,COG0387; ChaA; Ca2+/H+ antiporter; len=368,31.28,374,5.00E-82,260,AT1G55730.2,Cation exchanger 5,71.43,378,2.00E-79,257,gb|DR119279.1
UMN_3489,UMN_3489,4,124.09,123.71,124.47,0.76,UMN_3489_01_150,SNP,0,1,0,0,scaffold904719,35640--36149,100,99.8,AP,99.61,510,0,911,CDD|191899,pfam07939; DUF1685; Unknown function; len=63,60.38,53,1.00E-21,85.5,AT1G05870.4,Uncharacterized protein,38.89,162,3.00E-41,142,gb|BF517249.1
0_7227,0_7227,4,124.12,123.74,124.5,0.76,0_7227_02_426,SNP,0,1,0,1,tscaffold3541,160547--159787,100,98.9,AP,84.53,446,1.00E-135,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|CF471375.1
0_13592,0_13592,4,124.38,124,124.76,0.76,0_13592_01_37,SNP,0,1,0,0,tscaffold634,1123919--1123363,100,99.3,AP,99.28,557,0,984,NA,NA,NA,NA,NA,NA,AT4G02715.1,Uncharacterized protein,45.92,98,6.00E-14,69.4,gb|DR119421.1
0_12107,0_12107,4,124.42,124.04,124.8,0.76,0_12107_01_392,SNP,0,1,0,0,tscaffold634,1122339--1121486,100,99.9,AP,99.41,854,0,1521,NA,NA,NA,NA,NA,NA,AT4G02715.1,Uncharacterized protein,45.92,98,6.00E-14,69.4,gb|DR163516.1
2_3211,2_3211,4,125.73,125.35,126.11,0.76,2_3211_01_154,SNP,0,1,0,0,scaffold376479.1,66011--65357,100,99.8,AP,99.85,655,0,1177,CDD|216177,pfam00891; Methyltransf_2; O-methyltransferase; len=239,41.21,165,6.00E-52,172,AT5G54160.1,O-methyltransferase 1,34.8,250,3.00E-99,300,gb|CF387971.1
0_16068,0_16068,4,126.25,125.87,126.63,0.76,0_16068_01_353,SNP,0,1,1,1,tscaffold1521,398833--399667,100,100,AP,99.14,696,0,1232,CDD|99960,cd03784; GT1_Gtf_like; This family includes the Gtfs; len=401,40.68,118,2.00E-36,132,AT5G24750.1,UDP-Glycosyltransferase superfamily protein,43.72,215,9.00E-53,179,gb|DR111069.1
NZPR0947,NZPR0947,4,126.28,125.88,126.68,0.8,NZPR0947,SSR,1,0,0,0,C32501912,40477--64553,95.9,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|BV728922
0_4284,0_4284,4,126.68,126.3,127.06,0.76,0_4284_270,SNP,0,0,0,1,scaffold253392,64790--119026,100,99.7,AP,99.85,666,0,1196,CDD|145969,pfam03106; WRKY DNA -binding domain protein; len=60,65,60,2.00E-34,120,AT2G44745.1,WRKY family transcription factor,59.15,164,6.00E-61,195,gb|CF478959.1
CL1103Contig1,CL1103Contig1,4,127.5,127.12,127.88,0.76,CL1103Contig1_02_91,SNP,0,1,1,0,scaffold575653.1,88561--87360,100,100,AP,99.19,864,0,1526,CDD|205691,pfam13513; HEAT_EZ; HEAT-like repeat; len=55,24.53,53,0.004,36.3,AT1G27210.1,ARM repeat superfamily protein,35.86,608,3.00E-96,312,gb|CO170978.1
NZPR0413,NZPR0413,4,128.1,127.71,128.49,0.78,NZPR0413,SSR,1,0,0,0,tscaffold197,39695--39366,45.3,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|BV728913
UMN_1577,UMN_1577,4,128.11,127.73,128.48,0.75,UMN_1577_361,SNP,0,0,0,1,tscaffold3759,204518--207071,100,99.8,AP,99.63,813,0,1454,CDD|215863,pfam00332; Glyco_hydro_17; Glycosyl hydrolases family 17; len=310,34.57,324,7.00E-81,256,AT2G19440.1,O-Glycosyl hydrolases family 17 protein,64.45,436,2.00E-161,470,gb|BQ291086.1
0_7544,0_7544,4,129.29,128.91,129.66,0.75,0_7544_507,SNP,0,0,0,1,tscaffold4431,277764--278323,100,100,AP,100,560,0,1011,CDD|213211,cd03244; ABCC_MRP_domain2; ATP-binding cassette domain 2 of multidrug; len=221,60.18,221,1.00E-129,376,AT3G13100.1,Multidrug resistance-associated protein 7,65.57,424,1.00E-116,374,gb|CF391027.1
PtIFG_1869_1,PtIFG_1869,4,129.33,128.96,129.71,0.75,rflpPita_IFG_1869_1,RFLP,0,1,0,0,scaffold12824.2,18547--18811,95.3,97.7,AP,99.26,272,1.00E-133,475,CDD|239723,cd03754; proteasome_alpha_type_6; Uncharacterized protein; len=215,74.88,215,2.00E-145,408,AT5G35590.1,Proteasome alpha subunit A1,82.11,246,3.00E-115,334,gb|H75024
0_11002,0_11002,4,129.51,129.13,129.88,0.75,0_11002_03_183,SNP,0,0,1,0,tscaffold3319,186575--187773,100,99.8,AP,90.68,858,0,1200,CDD|205691,pfam13513; HEAT_EZ; HEAT-like repeat; len=55,27.45,51,3.00E-04,38.2,AT2G07170.1,ARM repeat superfamily protein,47.93,290,4.00E-74,246,gb|DR743048.1
PtIFG_2421_1,PtIFG_2421,4,129.76,129.39,130.14,0.75,rflpPita_IFG_2421_1,RFLP,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2_830,2_830,4,130.39,130.02,130.77,0.75,2_830_02_265,SNP,0,1,0,0,scaffold901348,22722--21330,99.8,100,AP,100,1167,0,2105,CDD|197581,smart00219; TyrKc; Tyrosine kinase; catalytic domain; len=257,37.69,199,1.00E-53,180,AT5G56460.1,Kinase superfamily protein,64.75,366,2.00E-102,313,gb|CV035728.1
CL189Contig1,CL189Contig1,4,130.62,130.25,131,0.75,CL189Contig1_03_184,SNP,0,1,0,0,tscaffold4221,329049--327994,99.9,98.8,AP,98.78,1064,0,1855,CDD|187620,cd05362; THN_reductase-like_SDR_c; Tetrahydroxynaphthalene/trihydroxynaphthalene reductase-like; len=243,57.54,252,7.00E-112,324,AT3G03980.1,NAD(P)-binding Rossmann-fold superfamily protein,58.91,258,2.00E-88,267,gb|CV138036.1
2_1264,2_1264,4,130.62,130.25,131,0.75,2_1264_01_111,SNP,0,1,0,1,tscaffold3759,208056--207307,100,99.7,AP,99.73,750,0,1344,CDD|215863,pfam00332; Glyco_hydro_17; Glycosyl hydrolases family 17; len=310,34.57,324,7.00E-81,256,AT2G19440.1,O-Glycosyl hydrolases family 17 protein,64.45,436,2.00E-161,470,gb|DR089363.1
0_9244,0_9244,4,133.28,132.91,133.66,0.75,0_9244_160,SNP,0,0,0,1,tscaffold9161,12549--12799,100,100,AP,100,251,5.00E-126,453,CDD|225313,COG2515; Acd; 1-aminocyclopropane-1-carboxylate deaminase; len=323,26.77,198,3.00E-15,73.5,AT3G26115.1,Pyridoxal-5'-phosphate-dependent enzyme family protein,51.57,287,3.00E-56,190,gb|DR012319.1
2_9661,2_9661,4,133.61,133.23,133.99,0.76,2_9661_422,SNP,0,0,0,1,scaffold822058,82401--83231,100,99.9,AP,99.52,831,0,1485,NA,NA,NA,NA,NA,NA,AT1G33490.1,Uncharacterized protein,68.67,83,4.00E-33,116,gb|CO167619.1
0_11017,0_11017,4,134.39,134.02,134.77,0.75,0_11017_592,SNP,0,0,0,1,scaffold66846,80847--64074,100,99.6,AP,99.86,729,0,1310,CDD|203293,pfam05627; AvrRpt-cleavage; Cleavage site for pathogenic type III effector avirulence; len=39,79.49,39,1.00E-15,65.3,AT5G55850.3,RPM1-interacting protein 4 (RIN4) family protein,65.48,84,4.00E-24,89.9,gb|DR743180.1
2_4205,2_4205,4,135.63,135.25,136.01,0.76,2_4205_146,SNP,0,0,0,1,tscaffold1240,157447--164308,96.6,99.9,AP,99.41,681,0,1213,CDD|185434,PTZ00083; 40S ribosomal protein S27; len=85,74.07,81,4.00E-47,147,AT3G61110.1,Ribosomal protein S27,91.86,86,4.00E-44,141,gb|DR165306.1
0_13718,0_13718,4,136.86,136.48,137.23,0.75,0_13718_768,SNP,0,0,0,1,scaffold525716.1,7016--6547,55,96.2,AP,99.88,863,0,1552,CDD|235422,PRK05342; clpX; ATP-dependent protease ATP-binding subunit ClpX; len=412,53.6,375,0,570,AT5G53350.1,CLP protease regulatory subunit X,64.44,478,2.00E-173,508,gb|DR120494.1
0_9082,0_9082,4,138.78,138.4,139.15,0.75,0_9082_496,SNP,0,0,0,1,tscaffold7842,38266--39093,98.9,98.2,AP,99.88,833,0,1494,CDD|215863,pfam00332; Glyco_hydro_17; Glycosyl hydrolases family 17; len=310,51.12,313,5.00E-131,379,AT4G16260.1,Glycosyl hydrolase superfamily protein,46.25,333,4.00E-141,407,gb|CO167773.1
0_5379,0_5379,4,139.72,139.34,140.09,0.75,0_5379_104,SNP,0,0,0,1,scaffold70031.2,70137--60695,63.8,96.1,AP,100,854,0,1541,CDD|215181,PLN02317; Arogenate dehydratase; len=382,76.79,336,0,630,AT1G11790.1,Arogenate dehydratase 1,65.87,334,3.00E-162,466,gb|DR165613.1
CL862Contig1,CL862Contig1,4,141.32,140.94,141.69,0.75,CL862Contig1_07_161,SNP,0,1,1,0,tscaffold5559,63571--65615,99.9,99.7,AP,99.78,1786,0,3200,CDD|107221,cd06464; ACD_sHsps-like; Alpha-crystallin domain (ACD) of alpha-crystallin-type; len=88,20.95,105,0.042,32.9,AT2G37570.1,HSP20-like chaperones superfamily protein,57.27,543,0,528,gb|CO200448.1
0_9126,0_9126,4,143.93,143.56,144.31,0.75,0_9126_110,SNP,0,0,0,1,tscaffold7866,405773--405211,100,97.7,AP,97.69,563,0,960,CDD|218704,pfam05701; DUF827; Plant protein of unknown function; len=484,42.7,548,3.00E-62,217,AT2G26570.1,Uncharacterized protein,35.96,584,2.00E-38,153,gb|CO199701.1
CL4235Contig1,CL4235Contig1,4,144.9,144.52,145.28,0.76,CL4235Contig1_01_62,SNP,0,1,0,0,tscaffold8622,268885--268099,100,100,AP,100,787,0,1420,CDD|214568,smart00221; STYKc; Kinase; len=258,31,271,1.00E-56,188,AT5G54590.2,Kinase superfamily protein,58.85,384,3.00E-110,335,gb|CO201512.1
estPtIFG_8887_a,PtIFG_8887,4,145.42,145.02,145.81,0.79,estPtIFG_8887_a,ESTP,1,0,0,0,scaffold156204.2,33216--32667,100,82.9,AP,99.5,404,0,722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|AA739786
0_14013,0_14013,4,146.65,146.27,147.03,0.76,0_14013_01_581,SNP,0,1,1,1,tscaffold570,84903--84029,100,98.3,AP,99.24,657,0,1166,CDD|117965,pfam09425; CCT_2; Divergent CCT motif; len=27,65.38,26,1.00E-10,56.5,AT1G48500.1,Jasmonate-zim-domain protein 4,26.04,338,1.00E-25,106,gb|DR179258.1
0_11241,0_11241,4,147.8,147.42,148.18,0.76,0_11241_130,SNP,0,0,0,1,tscaffold5765,26834--27570,98.9,97.9,AP,99.86,721,0,1296,NA,NA,NA,NA,NA,NA,AT5G55710.1,Chloroplast,59.28,167,1.00E-61,194,gb|DR745098.1
CL621Contig1,CL621Contig1,4,147.97,147.59,148.35,0.76,CL621Contig1_01_168,SNP,0,0,1,0,C32571964,356932--284792,98.4,99.8,AP,99.89,887,0,1595,CDD|224164,COG1243; ELP3; Histone acetyltransferase; len=515,51.13,530,0,719,AT5G50320.1,Radical SAM domain-containing protein / GCN5-related N-acetyltransferase (GNAT) family protein,89.55,555,0,583,gb|CX646813.1
UMN_1037,UMN_1037,4,148.1,147.72,148.48,0.76,UMN_1037_01_401,SNP,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0_9135,0_9135,4,148.24,147.86,148.62,0.76,0_9135_02_99,SNP,0,1,0,0,tscaffold3525,29550--28618,99.5,99.8,AP,98.37,861,0,1490,CDD|227223,COG4886; Leucine-rich repeat (LRR) protein; len=394,29.83,238,3.00E-06,46.9,AT1G69550.1,Disease resistance protein TIR-NBS-LRR class,45.8,238,1.00E-28,117,gb|CO199749.1
PtAGP,PtAGP,4,148.24,147.8,148.69,0.89,PtAGP,ESTP,1,0,0,0,tscaffold5920,121566--120549,100,99,AP,99.71,1017,0,1817,CDD|237865,PRK14951; DNA polymerase III subunits gamma and tau; len=618,27.21,147,4.00E-14,69.7,NA,NA,NA,NA,NA,NA,gb|U09554
0_10266,0_10266,4,148.33,147.95,148.7,0.75,0_10266_562,SNP,0,0,0,1,tscaffold1409,91658--92354,100,99.7,AP,99.71,697,0,1249,CDD|222366,pfam13764; E3_UbLigase_R4; E3 ubiquitin-protein ligase UBR4; len=794,48.02,935,0,1075,AT3G02260.1,Auxin transport protein BIG,54.78,5203,0,5177,gb|DR050889.1
0_3521,0_3521,4,148.41,148.04,148.79,0.75,0_3521_01_435,SNP,0,1,1,1,tscaffold3569,100619--101560,100,99.5,AP,99.77,858,0,1539,CDD|216381,pfam01237; Oxysterol_BP; Oxysterol-binding protein; len=335,48.55,346,1.00E-145,435,AT4G08180.1,OSBP(oxysterol binding protein)-related protein 1C,61.7,833,0,837,gb|CO161483.1
0_18208,0_18208,4,148.85,148.47,149.22,0.75,0_18208_454,SNP,0,0,0,1,scaffold892187,3287--2481,99.4,100,AP,100,807,0,1456,CDD|114404,pfam05678; VQ motif; len=31,42.31,26,6.00E-07,44.7,AT1G80450.1,VQ motif-containing protein,32.64,193,2.00E-18,80.9,gb|DR020461.1
PtNCS_3H6z5_A,PtNCS_3H6z5,4,149.14,148.7,149.57,0.87,PtNCS_3H6z5_A,RFLP,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2_6623,2_6623,4,149.81,149.42,150.2,0.78,2_6623_01_403,SNP,0,1,0,1,scaffold48976.2,66469--65699,100,99.6,AP,99.87,771,0,1386,CDD|128780,smart00504; Ubox; Modified RING finger domain; len=63,49.21,63,4.00E-20,84.2,AT3G46510.1,Plant U-box 13,44.2,457,7.00E-86,280,gb|DR109582.1
PtIFG_1584_A,PtIFG_1584,4,150.89,150.5,151.28,0.78,rflpPita_IFG_1584_A,RFLP,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2_196,2_196,4,151,150.61,151.38,0.77,2_196_01_221,SNP,0,1,1,0,scaffold861335,43693--42952,100,99.1,AP,100,742,0,1339,CDD|219260,pfam06999; Suc_Fer-like; Sucrase/ferredoxin-like; len=218,36.12,227,5.00E-74,235,AT4G26620.1,Sucrase/ferredoxin-like family protein,53.2,453,4.00E-105,325,gb|CO159540.1
PrCHS1,PrCHS1,4,152.58,151.96,153.19,1.23,PrCHS1,ESTP,1,0,0,0,tscaffold158,260599--262978,99.2,98.2,AP,98.42,1456,0,2524,CDD|201072,pfam00195; Chal_sti_synt_N; Chalcone and stilbene synthases; N-terminal domain; len=227,44.49,227,2.00E-133,384,AT5G13930.1,Chalcone and stilbene synthase family protein,39.02,387,4.00E-146,424,gb|U90341
0_15726,0_15726,4,152.78,152.39,153.17,0.78,0_15726_01_93,SNP,0,1,0,1,scaffold310847,149369--150050,99.7,99.9,AP,100,682,0,1231,CDD|215863,pfam00332; Glyco_hydro_17; Glycosyl hydrolases family 17; len=310,40.25,318,6.00E-94,288,AT4G16260.1,Glycosyl hydrolase superfamily protein,34.27,321,3.00E-141,412,gb|CX712394.1
UMN_3511,UMN_3511,4,153.59,153.02,154.15,1.13,UMN_3511_01_306,SNP,0,1,1,0,C31153720,213--652,100,99.5,AP,99.55,440,0,785,CDD|145700,pfam02681; DUF212; Divergent PAP2 family; len=141,57.63,59,1.00E-23,92.6,AT1G24350.2,Acid phosphatase/vanadium-dependent haloperoxidase-related protein,49.15,59,1.00E-30,112,gb|BQ635152.1
2_8557,2_8557,4,153.59,153.2,153.98,0.78,2_8557_641,SNP,0,0,0,1,tscaffold4107,424247--423206,100,100,AP,100,903,0,1629,NA,NA,NA,NA,NA,NA,AT4G34100.2,RING/U-box superfamily protein,57.33,703,0,778,gb|DR092692.1
UMN_5594,UMN_5594,4,154.27,153.87,154.66,0.79,UMN_5594_402,SNP,0,0,0,1,tscaffold1861,330775--330002,99.9,99,AP,98.84,774,0,1352,CDD|222492,pfam14009; DUF4228; Domain of unknown function; len=181,28.38,74,0.005,34.3,AT3G10120.1,Uncharacterized protein,19.75,81,2.00E-08,49.9,gb|BM158991.1
0_7248,0_7248,4,155.04,154.64,155.43,0.79,0_7248_196,SNP,0,0,0,1,tscaffold3993,96006--96388,100,87.4,AP,98.6,430,0,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|CF471260.1
UMN_4447,UMN_4447,4,155.51,155.12,155.91,0.79,UMN_4447_173,SNP,0,0,0,1,tscaffold6835,63204--63665,100,99.8,AP,100,462,0,834,CDD|217390,pfam03151; TPT; Triose-phosphate Transporter family; len=149,39.19,148,8.00E-29,109,AT3G10290.1,Nucleotide-sugar transporter family protein,70.33,300,5.00E-33,127,gb|BE656884.1
estPtIFG_8738_a,PtIFG_8738,4,155.52,155.07,155.96,0.89,estPtIFG_8738_a,ESTP,1,0,0,0,scaffold527935.2,132852--122807,95.5,93.9,AP,95.9,659,0,1065,CDD|173737,cd07834; STKc_MAPK; Catalytic domain of the Serine/Threonine Kinase; len=330,62.65,324,0,566,AT2G43790.1,MAP kinase 6,81.96,388,5.00E-161,462,gb|AA739685
PstASU_APX,PstASU_APX,4,156.22,155.74,156.7,0.96,PstASU_APX,ESTP,1,0,0,0,scaffold616993,107216--104662,96.1,93.6,AP,93.84,568,0,866,CDD|173825,cd00691; ascorbate_peroxidase; Ascorbate peroxidases and cytochrome C peroxidases; len=253,64.03,253,7.00E-154,431,AT3G09640.2,Ascorbate peroxidase 2,85.08,248,1.00E-128,368,gb|AF326783
0_12545,0_12545,4,156.71,156.3,157.13,0.83,0_12545_363,SNP,0,0,1,1,tscaffold2958,313280--312638,100,99.1,AP,99.22,643,0,1137,CDD|224037,COG1112; Superfamily I DNA and RNA helicases and helicase subunits; len=767,26.67,420,4.00E-43,167,AT5G47010.1,RNA helicase/ putative,25.36,422,2.00E-95,327,gb|DR385852.1
CL2076Contig1,CL2076Contig1,4,156.89,156.49,157.3,0.81,CL2076Contig1_04_211,SNP,0,1,0,0,scaffold250361,75298--72578,99.4,100,AP,99.83,1167,0,2093,CDD|214386,CHL00176; ftsH; Cell division protein; len=638,66.67,594,0,920,AT2G30950.1,FtsH extracellular protease family,83.71,663,0,765,gb|DR017122.1
0_17344,0_17344,4,157.02,156.6,157.43,0.83,0_17344_02_127,SNP,0,1,1,0,tscaffold4709,59858--60692,99.6,99.6,AP,99.76,835,0,1494,CDD|206672,cd01885; EF2; Elongation Factor 2  in archaea and eukarya; len=218,53.22,233,1.00E-112,350,AT3G22980.1,Ribosomal protein S5/Elongation factor G/III/V family protein,60.73,1067,0,961,gb|DR100639.1
estPtNCS_2N7G_a,PtNCS_2N7G,4,157.2,156.7,157.71,1.01,estPita_IFG_2N7G_A,ESTP,1,1,0,0,tscaffold3434,750384--750968,88.3,95.9,AP,91.06,559,0,774,CDD|100015,cd02186; alpha_tubulin; The tubulin superfamily includes five distinct families; len=434,89.4,434,0,982,AT1G50010.1,Tubulin alpha-2 chain,92.38,446,0,677,gb|AA556198
CL4137Contig1,CL4137Contig1,4,157.3,156.88,157.72,0.84,CL4137Contig1_04_36,SNP,0,1,0,0,tscaffold2554,293513--345721,100,99.6,AP,99.81,1054,0,1885,CDD|217121,pfam02582; DUF155; ACR; YagE family COG1723; len=174,28,175,4.00E-48,163,AT1G69380.1,Uncharacterized protein,59.73,298,3.00E-83,262,gb|CO158770.1
0_6923,0_6923,4,158.11,157.68,158.55,0.87,0_6923_01_74,SNP,0,1,0,0,scaffold410209,165455--166033,100,100,AP,100,579,0,1045,CDD|216388,pfam01250; Ribosomal_S6; Ribosomal protein S6; len=92,27.37,95,2.00E-06,42.9,AT3G17170.1,Translation elongation  factor EF1B/ribosomal protein S6 family protein,18.69,107,3.00E-24,97,gb|CF397105.1
2_9835,2_9835,4,158.34,157.91,158.78,0.87,2_9835_01_162,SNP,0,1,1,0,scaffold728823,77250--76362,100,100,AP,99.55,889,0,1586,NA,NA,NA,NA,NA,NA,AT5G60150.1,Uncharacterized protein,63.41,41,3.00E-14,66.6,gb|CX645364.1
0_14346,0_14346,4,158.7,158.27,159.14,0.87,0_14346_01_114,SNP,0,1,0,0,scaffold856702,23796--24525,99.6,98,AP,96.98,563,0,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|CV034603.1
0_18872,0_18872,4,158.82,158.39,159.26,0.87,0_18872_01_53,SNP,0,1,1,0,tscaffold5437,40355--41025,98.8,99.9,AP,100,671,0,1211,CDD|238121,cd00200; WD40 domain; len=289,30.28,251,9.00E-33,129,AT1G53090.2,SPA1-related 4,44.51,692,1.00E-79,278,gb|DR015986.1
0_9704,0_9704,4,159.28,158.85,159.72,0.87,0_9704_01_381,SNP,0,1,0,0,scaffold895691,69735--68985,100,97.6,AP,99.86,738,0,1323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gb|DR090146.1
0_8167,0_8167,4,159.47,159.04,159.91,0.87,0_8167_01_588,SNP,0,1,1,0,tscaffold6329,1168237--1169388,100,99.5,AP,100,419,0,756,CDD|191545,pfam06507; Auxin_resp; Auxin response factor; len=83,61.45,83,8.00E-45,156,AT5G62000.4,Auxin response factor 2,53.79,818,0,699,gb|CF386566.1
estPtIFG_2N7G_a,PtNCS_2N7G,4,160.31,159.76,160.86,1.1,estPita_IFG_2N7G_A,ESTP,1,1,0,0,tscaffold3434,750384--750968,88.3,95.9,AP,91.06,559,0,774,CDD|100015,cd02186; alpha_tubulin; The tubulin superfamily includes five distinct families; len=434,89.4,434,0,982,AT1G50010.1,Tubulin alpha-2 chain,92.38,446,0,677,gb|AA556198
0_11781,0_11781,4,162.21,161.81,162.61,0.8,0_11781_01_254,SNP,0,1,1,1,tscaffold6683,90468--89525,99.6,99.8,AP,99.47,944,0,1680,CDD|187563,cd05253; UDP_GE_SDE_e; UDP glucuronic acid epimerase; extended (e) SDRs; len=332,54.03,335,8.00E-168,478,AT1G02000.1,UDP-D-glucuronate 4-epimerase 2,75.06,429,5.00E-162,468,gb|DR069392.1
PtIFG_1636_2,PtIFG_1636,4,162.28,161.6,162.95,1.35,rflpPita_IFG_1636_2,RFLP,1,1,0,0,C28565774,382--583,78.6,96.5,AP,99.61,256,5.00E-126,453,CDD|223268,COG0190; FolD; 5; len=283,55.94,286,6.00E-132,379,AT4G00620.1,Amino acid dehydrogenase family protein,64.46,287,2.00E-172,486,gb|H75187
PtSIFG_4458,PtSIFG_4458,4,163.28,162.5,164.05,1.55,PtSIFG_4458,estSSR,1,0,0,0,scaffold432248,14821--14138,100,99.9,AP,99.85,684,0,1229,CDD|214815,smart00774; WRKY; DNA binding domain; len=59,62.71,59,3.00E-36,126,AT1G29860.1,WRKY DNA-binding protein 71,47.2,214,1.00E-52,177,gb|BV728766
PtIFG_2994_1,PtIFG_2994,4,163.48,162.65,164.31,1.66,rflpPita_IFG_2994_1,RFLP,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
